year,state,state_code,region,crime_category,cases_reported,cases_solved,solve_rate,financial_loss_lakhs,population
2022,Andhra Pradesh,AP,South,Data Breach,2392,592,24.8,18159.27,53903393
2022,Andhra Pradesh,AP,South,Hacking,2043,704,34.5,17503.65,53903393
2022,Andhra Pradesh,AP,South,Online Child Exploitation,917,318,34.7,5409.32,53903393
2022,Andhra Pradesh,AP,South,Cryptocurrency Fraud,1949,347,17.8,41995.51,53903393
2023,Andhra Pradesh,AP,South,Online Financial Fraud,1902,466,24.5,24016.88,53903393
2023,Andhra Pradesh,AP,South,Social Media Crimes,850,269,31.7,7984.45,53903393
2023,Andhra Pradesh,AP,South,Phishing/Vishing,5114,1834,35.9,30252.28,53903393
2023,Andhra Pradesh,AP,South,Ransomware Attacks,1106,198,17.9,36138.91,53903393
2023,Andhra Pradesh,AP,South,Identity Theft,436,194,44.7,798.23,53903393
2023,Andhra Pradesh,AP,South,Cyber Stalking/Bullying,2022,617,30.5,17864.46,53903393
2023,Andhra Pradesh,AP,South,Data Breach,934,347,37.2,6651.62,53903393
2023,Andhra Pradesh,AP,South,Hacking,1740,627,36.1,6812.39,53903393
2023,Andhra Pradesh,AP,South,Online Child Exploitation,709,168,23.8,5805.95,53903393
2023,Andhra Pradesh,AP,South,Cryptocurrency Fraud,1782,700,39.3,78440.53,53903393
2024,Andhra Pradesh,AP,South,Online Financial Fraud,2329,408,17.6,17061.5,53903393
2024,Andhra Pradesh,AP,South,Social Media Crimes,3101,959,30.9,17477.34,53903393
2024,Andhra Pradesh,AP,South,Phishing/Vishing,2553,871,34.1,18886.76,53903393
2024,Andhra Pradesh,AP,South,Ransomware Attacks,821,363,44.3,23179.72,53903393
2024,Andhra Pradesh,AP,South,Identity Theft,1325,327,24.7,10671.91,53903393
2024,Andhra Pradesh,AP,South,Cyber Stalking/Bullying,6532,1510,23.1,30505.93,53903393
2024,Andhra Pradesh,AP,South,Data Breach,222,38,17.4,164.46,53903393
2024,Andhra Pradesh,AP,South,Hacking,1084,475,43.9,9150.92,53903393
2024,Andhra Pradesh,AP,South,Online Child Exploitation,3368,1208,35.9,14768.86,53903393
2024,Andhra Pradesh,AP,South,Cryptocurrency Fraud,868,175,20.2,10450.43,53903393
2025,Andhra Pradesh,AP,South,Online Financial Fraud,2122,571,27.0,69417.53,53903393
2025,Andhra Pradesh,AP,South,Social Media Crimes,2516,856,34.1,2340.86,53903393
2025,Andhra Pradesh,AP,South,Phishing/Vishing,3054,801,26.2,19685.07,53903393
2025,Andhra Pradesh,AP,South,Ransomware Attacks,1727,519,30.1,75197.11,53903393
2025,Andhra Pradesh,AP,South,Identity Theft,3793,1318,34.8,7767.6,53903393
2025,Andhra Pradesh,AP,South,Cyber Stalking/Bullying,698,119,17.1,4608.88,53903393
2025,Andhra Pradesh,AP,South,Data Breach,392,61,15.8,2377.43,53903393
2025,Andhra Pradesh,AP,South,Hacking,1081,467,43.2,6450.33,53903393
2025,Andhra Pradesh,AP,South,Online Child Exploitation,4266,1136,26.6,28203.54,53903393
2025,Andhra Pradesh,AP,South,Cryptocurrency Fraud,385,110,28.7,11377.81,53903393
2018,Arunachal Pradesh,AR,Northeast,Online Financial Fraud,17,4,25.2,797.03,1570458
2018,Arunachal Pradesh,AR,Northeast,Social Media Crimes,12,4,40.8,54.91,1570458
2018,Arunachal Pradesh,AR,Northeast,Phishing/Vishing,22,8,37.5,168.7,1570458
2018,Arunachal Pradesh,AR,Northeast,Ransomware Attacks,11,1,18.1,501.76,1570458
2018,Arunachal Pradesh,AR,Northeast,Identity Theft,14,4,30.2,116.92,1570458
2018,Arunachal Pradesh,AR,Northeast,Cyber Stalking/Bullying,24,5,24.6,216.18,1570458
2018,Arunachal Pradesh,AR,Northeast,Data Breach,28,7,26.7,16.88,1570458
2018,Arunachal Pradesh,AR,Northeast,Hacking,28,11,42.2,38.28,1570458
2018,Arunachal Pradesh,AR,Northeast,Online Child Exploitation,10,2,24.6,95.26,1570458
2018,Arunachal Pradesh,AR,Northeast,Cryptocurrency Fraud,2,0,43.5,61.61,1570458
2019,Arunachal Pradesh,AR,Northeast,Online Financial Fraud,9,3,36.0,74.47,1570458
2019,Arunachal Pradesh,AR,Northeast,Social Media Crimes,11,4,39.7,79.3,1570458
2019,Arunachal Pradesh,AR,Northeast,Phishing/Vishing,9,1,17.4,11.75,1570458
2019,Arunachal Pradesh,AR,Northeast,Ransomware Attacks,44,19,44.6,961.06,1570458
2019,Arunachal Pradesh,AR,Northeast,Identity Theft,44,11,26.1,361.75,1570458
2019,Arunachal Pradesh,AR,Northeast,Cyber Stalking/Bullying,30,13,43.4,296.01,1570458
2019,Arunachal Pradesh,AR,Northeast,Data Breach,15,5,37.6,61.12,1570458
2019,Arunachal Pradesh,AR,Northeast,Hacking,13,2,17.5,102.48,1570458
2019,Arunachal Pradesh,AR,Northeast,Online Child Exploitation,21,6,31.8,95.13,1570458
2019,Arunachal Pradesh,AR,Northeast,Cryptocurrency Fraud,13,5,42.2,130.05,1570458
2020,Arunachal Pradesh,AR,Northeast,Online Financial Fraud,26,8,33.9,944.03,1570458
2020,Arunachal Pradesh,AR,Northeast,Social Media Crimes,12,3,28.6,77.54,1570458
2020,Arunachal Pradesh,AR,Northeast,Phishing/Vishing,20,6,32.5,181.22,1570458
2020,Arunachal Pradesh,AR,Northeast,Ransomware Attacks,50,8,16.4,882.17,1570458
2020,Arunachal Pradesh,AR,Northeast,Identity Theft,37,16,43.5,331.43,1570458
2020,Arunachal Pradesh,AR,Northeast,Cyber Stalking/Bullying,5,1,28.7,31.96,1570458
2020,Arunachal Pradesh,AR,Northeast,Data Breach,10,2,23.3,22.87,1570458
2020,Arunachal Pradesh,AR,Northeast,Hacking,22,6,28.9,84.85,1570458
2020,Arunachal Pradesh,AR,Northeast,Online Child Exploitation,42,13,32.5,52.02,1570458
2020,Arunachal Pradesh,AR,Northeast,Cryptocurrency Fraud,30,13,44.2,1481.38,1570458
2021,Arunachal Pradesh,AR,Northeast,Online Financial Fraud,23,3,16.7,1009.99,1570458
2021,Arunachal Pradesh,AR,Northeast,Social Media Crimes,43,16,39.4,429.88,1570458
2021,Arunachal Pradesh,AR,Northeast,Phishing/Vishing,13,5,44.9,75.1,1570458
2021,Arunachal Pradesh,AR,Northeast,Ransomware Attacks,6,2,38.1,285.09,1570458
2021,Arunachal Pradesh,AR,Northeast,Identity Theft,71,28,40.5,202.34,1570458
2021,Arunachal Pradesh,AR,Northeast,Cyber Stalking/Bullying,49,13,28.5,84.62,1570458
2021,Arunachal Pradesh,AR,Northeast,Data Breach,15,6,43.6,93.88,1570458
2021,Arunachal Pradesh,AR,Northeast,Hacking,55,12,21.9,378.46,1570458
2021,Arunachal Pradesh,AR,Northeast,Online Child Exploitation,20,6,33.5,78.05,1570458
2021,Arunachal Pradesh,AR,Northeast,Cryptocurrency Fraud,51,9,18.4,1796.26,1570458
2022,Arunachal Pradesh,AR,Northeast,Online Financial Fraud,26,8,33.7,1138.97,1570458
2022,Arunachal Pradesh,AR,Northeast,Social Media Crimes,67,29,43.5,127.11,1570458
2022,Arunachal Pradesh,AR,Northeast,Phishing/Vishing,49,20,42.8,253.58,1570458
2022,Arunachal Pradesh,AR,Northeast,Ransomware Attacks,27,6,22.7,692.85,1570458
2022,Arunachal Pradesh,AR,Northeast,Identity Theft,65,28,44.4,336.69,1570458
2022,Arunachal Pradesh,AR,Northeast,Cyber Stalking/Bullying,45,11,24.9,293.28,1570458
2022,Arunachal Pradesh,AR,Northeast,Data Breach,4,0,22.2,4.88,1570458
2022,Arunachal Pradesh,AR,Northeast,Hacking,63,11,18.9,108.14,1570458
2022,Arunachal Pradesh,AR,Northeast,Online Child Exploitation,28,5,19.6,50.93,1570458
2022,Arunachal Pradesh,AR,Northeast,Cryptocurrency Fraud,2,0,34.2,26.37,1570458
2023,Arunachal Pradesh,AR,Northeast,Online Financial Fraud,33,5,16.8,576.16,1570458
2023,Arunachal Pradesh,AR,Northeast,Social Media Crimes,67,26,39.2,509.77,1570458
2023,Arunachal Pradesh,AR,Northeast,Phishing/Vishing,22,4,20.5,54.75,1570458
2023,Arunachal Pradesh,AR,Northeast,Ransomware Attacks,17,4,26.1,455.66,1570458
2023,Arunachal Pradesh,AR,Northeast,Identity Theft,32,10,33.5,128.15,1570458
2023,Arunachal Pradesh,AR,Northeast,Cyber Stalking/Bullying,13,3,28.9,98.81,1570458
2023,Arunachal Pradesh,AR,Northeast,Data Breach,119,19,16.1,344.88,1570458
2023,Arunachal Pradesh,AR,Northeast,Hacking,35,12,36.4,315.16,1570458
2023,Arunachal Pradesh,AR,Northeast,Online Child Exploitation,19,5,30.4,105.55,1570458
2023,Arunachal Pradesh,AR,Northeast,Cryptocurrency Fraud,41,7,18.2,1030.48,1570458
2024,Arunachal Pradesh,AR,Northeast,Online Financial Fraud,23,5,25.9,783.52,1570458
2024,Arunachal Pradesh,AR,Northeast,Social Media Crimes,21,6,32.1,81.54,1570458
2024,Arunachal Pradesh,AR,Northeast,Phishing/Vishing,18,8,44.6,112.59,1570458
2024,Arunachal Pradesh,AR,Northeast,Ransomware Attacks,27,5,22.1,258.67,1570458
2024,Arunachal Pradesh,AR,Northeast,Identity Theft,56,10,19.6,158.85,1570458
2024,Arunachal Pradesh,AR,Northeast,Cyber Stalking/Bullying,89,17,19.8,202.24,1570458
2024,Arunachal Pradesh,AR,Northeast,Data Breach,22,5,23.6,47.24,1570458
2024,Arunachal Pradesh,AR,Northeast,Hacking,47,19,41.9,59.32,1570458
2024,Arunachal Pradesh,AR,Northeast,Online Child Exploitation,33,10,30.7,145.16,1570458
2024,Arunachal Pradesh,AR,Northeast,Cryptocurrency Fraud,133,59,44.5,1335.55,1570458
2025,Arunachal Pradesh,AR,Northeast,Online Financial Fraud,30,9,31.0,219.96,1570458
2025,Arunachal Pradesh,AR,Northeast,Social Media Crimes,83,20,25.1,147.49,1570458
2025,Arunachal Pradesh,AR,Northeast,Phishing/Vishing,52,8,16.9,515.04,1570458
2025,Arunachal Pradesh,AR,Northeast,Ransomware Attacks,83,20,24.7,3439.88,1570458
2025,Arunachal Pradesh,AR,Northeast,Identity Theft,27,6,22.6,188.31,1570458
2025,Arunachal Pradesh,AR,Northeast,Cyber Stalking/Bullying,73,27,37.8,449.58,1570458
2025,Arunachal Pradesh,AR,Northeast,Data Breach,9,2,29.1,39.71,1570458
2025,Arunachal Pradesh,AR,Northeast,Hacking,50,12,25.5,466.53,1570458
2025,Arunachal Pradesh,AR,Northeast,Online Child Exploitation,77,30,39.9,744.42,1570458
2025,Arunachal Pradesh,AR,Northeast,Cryptocurrency Fraud,9,1,18.7,341.0,1570458
2018,Assam,AS,Northeast,Online Financial Fraud,432,161,37.4,11932.88,35607039
2018,Assam,AS,Northeast,Social Media Crimes,357,78,22.0,3229.41,35607039
2018,Assam,AS,Northeast,Phishing/Vishing,519,137,26.5,2939.49,35607039
2018,Assam,AS,Northeast,Ransomware Attacks,288,121,42.2,9530.12,35607039
2018,Assam,AS,Northeast,Identity Theft,540,99,18.5,5091.34,35607039
2018,Assam,AS,Northeast,Cyber Stalking/Bullying,286,96,33.8,1052.94,35607039
2018,Assam,AS,Northeast,Data Breach,743,142,19.2,5976.13,35607039
2018,Assam,AS,Northeast,Hacking,310,104,33.6,1726.04,35607039
2018,Assam,AS,Northeast,Online Child Exploitation,42,17,41.8,335.65,35607039
2018,Assam,AS,Northeast,Cryptocurrency Fraud,163,31,19.6,3101.48,35607039
2019,Assam,AS,Northeast,Online Financial Fraud,757,328,43.4,9008.92,35607039
2019,Assam,AS,Northeast,Social Media Crimes,379,123,32.6,2010.95,35607039
2019,Assam,AS,Northeast,Phishing/Vishing,667,222,33.3,448.26,35607039
2019,Assam,AS,Northeast,Ransomware Attacks,195,80,41.2,9154.34,35607039
2019,Assam,AS,Northeast,Identity Theft,549,175,32.0,3907.88,35607039
2019,Assam,AS,Northeast,Cyber Stalking/Bullying,552,235,42.7,3984.76,35607039
2019,Assam,AS,Northeast,Data Breach,54,10,19.6,322.64,35607039
2019,Assam,AS,Northeast,Hacking,348,115,33.2,1576.18,35607039
2019,Assam,AS,Northeast,Online Child Exploitation,321,119,37.1,3009.85,35607039
2019,Assam,AS,Northeast,Cryptocurrency Fraud,506,216,42.8,12795.61,35607039
2020,Assam,AS,Northeast,Online Financial Fraud,782,234,30.0,18651.99,35607039
2020,Assam,AS,Northeast,Social Media Crimes,1582,671,42.4,6237.42,35607039
2020,Assam,AS,Northeast,Phishing/Vishing,661,214,32.4,4300.8,35607039
2020,Assam,AS,Northeast,Ransomware Attacks,528,81,15.4,18405.65,35607039
2020,Assam,AS,Northeast,Identity Theft,302,61,20.3,2908.31,35607039
2020,Assam,AS,Northeast,Cyber Stalking/Bullying,140,27,19.5,621.45,35607039
2020,Assam,AS,Northeast,Data Breach,222,38,17.6,2213.41,35607039
2020,Assam,AS,Northeast,Hacking,221,66,30.1,1360.51,35607039
2020,Assam,AS,Northeast,Online Child Exploitation,609,103,17.0,4643.4,35607039
2020,Assam,AS,Northeast,Cryptocurrency Fraud,171,36,21.3,7765.53,35607039
2021,Assam,AS,Northeast,Online Financial Fraud,2423,842,34.8,15069.41,35607039
2021,Assam,AS,Northeast,Social Media Crimes,191,41,21.7,514.79,35607039
2021,Assam,AS,Northeast,Phishing/Vishing,1319,463,35.2,906.48,35607039
2021,Assam,AS,Northeast,Ransomware Attacks,16,2,18.1,655.94,35607039
2021,Assam,AS,Northeast,Identity Theft,177,36,20.4,1186.09,35607039
2021,Assam,AS,Northeast,Cyber Stalking/Bullying,613,135,22.1,885.6,35607039
2021,Assam,AS,Northeast,Data Breach,467,104,22.3,3437.84,35607039
2021,Assam,AS,Northeast,Hacking,772,313,40.7,6474.83,35607039
2021,Assam,AS,Northeast,Online Child Exploitation,392,105,26.9,2683.95,35607039
2021,Assam,AS,Northeast,Cryptocurrency Fraud,498,105,21.1,9059.44,35607039
2022,Assam,AS,Northeast,Online Financial Fraud,1099,459,41.8,45051.84,35607039
2022,Assam,AS,Northeast,Social Media Crimes,267,74,27.8,190.49,35607039
2022,Assam,AS,Northeast,Phishing/Vishing,558,128,23.1,3150.2,35607039
2022,Assam,AS,Northeast,Ransomware Attacks,1771,602,34.0,29407.36,35607039
2022,Assam,AS,Northeast,Identity Theft,184,35,19.2,1551.46,35607039
2022,Assam,AS,Northeast,Cyber Stalking/Bullying,1334,594,44.5,7329.07,35607039
2022,Assam,AS,Northeast,Data Breach,85,17,20.2,262.39,35607039
2022,Assam,AS,Northeast,Hacking,2566,399,15.6,23570.86,35607039
2022,Assam,AS,Northeast,Online Child Exploitation,547,101,18.5,3269.37,35607039
2022,Assam,AS,Northeast,Cryptocurrency Fraud,1158,268,23.2,34668.22,35607039
2023,Assam,AS,Northeast,Online Financial Fraud,520,124,23.9,15853.87,35607039
2023,Assam,AS,Northeast,Social Media Crimes,1123,328,29.3,7641.88,35607039
2023,Assam,AS,Northeast,Phishing/Vishing,2187,942,43.1,16313.78,35607039
2023,Assam,AS,Northeast,Ransomware Attacks,2128,456,21.4,13626.1,35607039
2023,Assam,AS,Northeast,Identity Theft,676,154,22.9,4159.59,35607039
2023,Assam,AS,Northeast,Cyber Stalking/Bullying,1352,223,16.5,7051.33,35607039
2023,Assam,AS,Northeast,Data Breach,577,189,32.9,2120.66,35607039
2023,Assam,AS,Northeast,Hacking,890,339,38.1,1346.29,35607039
2023,Assam,AS,Northeast,Online Child Exploitation,171,29,17.3,1268.44,35607039
2023,Assam,AS,Northeast,Cryptocurrency Fraud,383,114,29.9,13779.62,35607039
2024,Assam,AS,Northeast,Online Financial Fraud,1360,294,21.6,67245.28,35607039
2024,Assam,AS,Northeast,Social Media Crimes,513,222,43.3,448.65,35607039
2024,Assam,AS,Northeast,Phishing/Vishing,1285,464,36.2,11937.47,35607039
2024,Assam,AS,Northeast,Ransomware Attacks,172,35,20.4,5255.9,35607039
2024,Assam,AS,Northeast,Identity Theft,776,329,42.5,638.25,35607039
2024,Assam,AS,Northeast,Cyber Stalking/Bullying,1284,461,35.9,4269.06,35607039
2024,Assam,AS,Northeast,Data Breach,1089,465,42.7,10590.58,35607039
2024,Assam,AS,Northeast,Hacking,1276,552,43.3,6386.42,35607039
2024,Assam,AS,Northeast,Online Child Exploitation,1476,603,40.9,12580.27,35607039
2024,Assam,AS,Northeast,Cryptocurrency Fraud,1151,282,24.6,48688.68,35607039
2025,Assam,AS,Northeast,Online Financial Fraud,221,56,25.5,8734.69,35607039
2025,Assam,AS,Northeast,Social Media Crimes,1232,333,27.1,6232.46,35607039
2025,Assam,AS,Northeast,Phishing/Vishing,333,112,33.8,2930.38,35607039
2025,Assam,AS,Northeast,Ransomware Attacks,2012,895,44.5,79619.47,35607039
2025,Assam,AS,Northeast,Identity Theft,1158,318,27.5,5214.35,35607039
2025,Assam,AS,Northeast,Cyber Stalking/Bullying,108,40,37.1,298.99,35607039
2025,Assam,AS,Northeast,Data Breach,1568,287,18.3,6066.45,35607039
2025,Assam,AS,Northeast,Hacking,1056,249,23.6,3500.56,35607039
2025,Assam,AS,Northeast,Online Child Exploitation,1420,312,22.0,1277.84,35607039
2025,Assam,AS,Northeast,Cryptocurrency Fraud,886,137,15.5,43810.49,35607039
2018,Bihar,BR,East,Online Financial Fraud,133,33,25.5,1011.19,124799926
2018,Bihar,BR,East,Social Media Crimes,574,252,44.1,5106.28,124799926
2018,Bihar,BR,East,Phishing/Vishing,309,132,42.8,3075.05,124799926
2018,Bihar,BR,East,Ransomware Attacks,172,34,20.2,3926.91,124799926
2018,Bihar,BR,East,Identity Theft,1437,542,37.7,10220.23,124799926
2018,Bihar,BR,East,Cyber Stalking/Bullying,200,39,19.6,1650.08,124799926
2018,Bihar,BR,East,Data Breach,778,169,21.7,2043.24,124799926
2018,Bihar,BR,East,Hacking,1008,313,31.1,6181.99,124799926
2018,Bihar,BR,East,Online Child Exploitation,229,74,32.4,313.53,124799926
2018,Bihar,BR,East,Cryptocurrency Fraud,213,88,41.3,3610.78,124799926
2019,Bihar,BR,East,Online Financial Fraud,442,156,35.3,13462.41,124799926
2019,Bihar,BR,East,Social Media Crimes,458,105,23.0,4051.92,124799926
2019,Bihar,BR,East,Phishing/Vishing,310,120,38.9,2094.14,124799926
2019,Bihar,BR,East,Ransomware Attacks,178,72,40.5,7837.03,124799926
2019,Bihar,BR,East,Identity Theft,348,126,36.3,2941.17,124799926
2019,Bihar,BR,East,Cyber Stalking/Bullying,1120,402,35.9,7796.7,124799926
2019,Bihar,BR,East,Data Breach,232,77,33.6,1774.99,124799926
2019,Bihar,BR,East,Hacking,423,83,19.8,3751.28,124799926
2019,Bihar,BR,East,Online Child Exploitation,1612,663,41.2,1253.89,124799926
2019,Bihar,BR,East,Cryptocurrency Fraud,229,91,39.8,2473.0,124799926
2020,Bihar,BR,East,Online Financial Fraud,326,140,43.0,3133.82,124799926
2020,Bihar,BR,East,Social Media Crimes,844,363,43.1,5937.47,124799926
2020,Bihar,BR,East,Phishing/Vishing,491,83,17.0,1649.34,124799926
2020,Bihar,BR,East,Ransomware Attacks,590,213,36.2,4738.16,124799926
2020,Bihar,BR,East,Identity Theft,600,194,32.5,2271.53,124799926
2020,Bihar,BR,East,Cyber Stalking/Bullying,630,211,33.6,588.77,124799926
2020,Bihar,BR,East,Data Breach,1567,644,41.1,15275.34,124799926
2020,Bihar,BR,East,Hacking,691,304,44.1,5266.59,124799926
2020,Bihar,BR,East,Online Child Exploitation,869,164,18.9,6694.34,124799926
2020,Bihar,BR,East,Cryptocurrency Fraud,610,95,15.7,3657.29,124799926
2021,Bihar,BR,East,Online Financial Fraud,2263,946,41.8,34732.43,124799926
2021,Bihar,BR,East,Social Media Crimes,776,166,21.4,617.52,124799926
2021,Bihar,BR,East,Phishing/Vishing,200,69,34.6,800.2,124799926
2021,Bihar,BR,East,Ransomware Attacks,326,133,40.9,8571.99,124799926
2021,Bihar,BR,East,Identity Theft,1353,595,44.0,3061.15,124799926
2021,Bihar,BR,East,Cyber Stalking/Bullying,245,100,41.1,1930.03,124799926
2021,Bihar,BR,East,Data Breach,1503,573,38.1,12813.74,124799926
2021,Bihar,BR,East,Hacking,1302,492,37.8,8396.72,124799926
2021,Bihar,BR,East,Online Child Exploitation,756,143,18.9,611.6,124799926
2021,Bihar,BR,East,Cryptocurrency Fraud,453,193,42.6,14835.42,124799926
2022,Bihar,BR,East,Online Financial Fraud,432,176,40.8,17320.3,124799926
2022,Bihar,BR,East,Social Media Crimes,1052,170,16.2,5328.19,124799926
2022,Bihar,BR,East,Phishing/Vishing,299,54,18.1,837.03,124799926
2022,Bihar,BR,East,Ransomware Attacks,847,377,44.6,9666.22,124799926
2022,Bihar,BR,East,Identity Theft,223,66,30.0,1421.06,124799926
2022,Bihar,BR,East,Cyber Stalking/Bullying,1645,593,36.1,9568.41,124799926
2022,Bihar,BR,East,Data Breach,875,133,15.3,3151.21,124799926
2022,Bihar,BR,East,Hacking,1072,327,30.5,1430.83,124799926
2022,Bihar,BR,East,Online Child Exploitation,4811,1227,25.5,3923.03,124799926
2022,Bihar,BR,East,Cryptocurrency Fraud,725,125,17.4,16574.62,124799926
2023,Bihar,BR,East,Online Financial Fraud,1934,595,30.8,73340.24,124799926
2023,Bihar,BR,East,Social Media Crimes,975,170,17.4,1046.51,124799926
2023,Bihar,BR,East,Phishing/Vishing,1554,348,22.4,3132.36,124799926
2023,Bihar,BR,East,Ransomware Attacks,1171,481,41.2,17406.48,124799926
2023,Bihar,BR,East,Identity Theft,645,285,44.3,2386.83,124799926
2023,Bihar,BR,East,Cyber Stalking/Bullying,356,72,20.5,2848.76,124799926
2023,Bihar,BR,East,Data Breach,1150,399,34.8,6017.79,124799926
2023,Bihar,BR,East,Hacking,972,307,31.7,7127.11,124799926
2023,Bihar,BR,East,Online Child Exploitation,1483,324,21.9,14778.35,124799926
2023,Bihar,BR,East,Cryptocurrency Fraud,715,316,44.2,24499.23,124799926
2024,Bihar,BR,East,Online Financial Fraud,820,174,21.3,27087.47,124799926
2024,Bihar,BR,East,Social Media Crimes,1460,495,33.9,10898.28,124799926
2024,Bihar,BR,East,Phishing/Vishing,2621,496,18.9,19134.18,124799926
2024,Bihar,BR,East,Ransomware Attacks,1141,482,42.3,14930.83,124799926
2024,Bihar,BR,East,Identity Theft,173,38,22.1,1682.99,124799926
2024,Bihar,BR,East,Cyber Stalking/Bullying,562,114,20.4,4842.56,124799926
2024,Bihar,BR,East,Data Breach,264,78,29.8,752.06,124799926
2024,Bihar,BR,East,Hacking,4344,1786,41.1,20548.86,124799926
2024,Bihar,BR,East,Online Child Exploitation,240,73,30.4,939.05,124799926
2024,Bihar,BR,East,Cryptocurrency Fraud,770,252,32.8,9516.1,124799926
2025,Bihar,BR,East,Online Financial Fraud,492,171,34.9,12968.33,124799926
2025,Bihar,BR,East,Social Media Crimes,3665,1477,40.3,29883.92,124799926
2025,Bihar,BR,East,Phishing/Vishing,1609,523,32.6,14076.46,124799926
2025,Bihar,BR,East,Ransomware Attacks,2365,500,21.2,23736.05,124799926
2025,Bihar,BR,East,Identity Theft,1770,408,23.1,1844.92,124799926
2025,Bihar,BR,East,Cyber Stalking/Bullying,499,154,30.9,4689.48,124799926
2025,Bihar,BR,East,Data Breach,357,57,16.2,592.64,124799926
2025,Bihar,BR,East,Hacking,1174,335,28.6,11002.51,124799926
2025,Bihar,BR,East,Online Child Exploitation,1257,307,24.5,6685.64,124799926
2025,Bihar,BR,East,Cryptocurrency Fraud,1257,204,16.2,14676.03,124799926
